trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
678,False,"{'a': 0.01, 'e': 0.0011362748983197658}",20,5,27.47253632135609,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
679,False,"{'a': 0.01, 'e': 0.0011249687741748374}",20,9,16.481522272237402,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.01, 'e': 0.0011137751478448032}",20,9,18.026358182235263,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.01, 'e': 0.0011026928999577018}",20,16,6.240062699578116,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.01, 'e': 0.0010917209222795108}",25,20,7.933251651204764,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.01, 'e': 0.0010808581176033184}",20,2,28.165881458011444,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.01, 'e': 0.0010701033996396044}",20,16,7.241167520107886,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.01, 'e': 0.001059455692907609}",25,14,14.905426383847985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
686,False,"{'a': 0.01, 'e': 0.0010489139326277882}",20,6,24.923071419290704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.01, 'e': 0.0010384770646153282}",25,13,20.070654365194844,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
688,False,"{'a': 0.01, 'e': 0.0010281440451747298}",25,11,22.991315498967843,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.01, 'e': 0.0010179138409954376}",25,13,19.69592602531411,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
690,False,"{'a': 0.01, 'e': 0.0010077854290485105}",20,13,13.218501576490539,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
